Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Azerbaijan,AZE,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4423404930,3310923483,3038779314,3114588734,3536172008,4042472322,4552756828,4922349656,5337804975,5860818721,6766622729,7894390279,10620569676,16040241875,23239091241,33943085074,42937271542,48657379031,50720296553,58425547611,69184546458,72424695198,63332400476,
Burundi,BDI,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,206666179.6,229705021.3,249136186.9,218415484.9,186278497.8,178801235.6,176530724.1,178807837,235185344.3,250901658.1,245081171.3,301256262.2,348631154.1,414529128.5,461778313.3,545551150.7,581439794,720310248.7,896643348.1,1074923411,1034715176,1019182029,1009821429,1131169776,1201972391,1294120780,1302305820,1210929034,1187230148,1225750919,1192299103,1044187086,955734527.5,916444361.7,868857678.2,906257045.8,906190364.5,866791081.7,859340957.8,843865403.3,862872242.2,827371837.1,887399105.8,995645970,1175383858,1343416578,1525194944,1651965519,1858616904,2111617801,2389492834,2646230338,2879886373,2900416642,
Belgium,BEL,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,13405546016,14226174725,15668565679,17067196863,18553179286,20097046130,21872541388,24221708059,27035999503,29912925723,35520016499,45899743559,58874388994,68058757943,74814839811,81195888004,94535140657,1.16117E+11,1.38487E+11,1.30704E+11,1.10747E+11,93347466362,87777198619,87407607531,1.00737E+11,1.29867E+11,1.69234E+11,1.80042E+11,1.93417E+11,2.06919E+11,2.33845E+11,2.37183E+11,2.55012E+11,2.75723E+11,2.92114E+11,2.91645E+11,2.72601E+11,2.67719E+11,2.66898E+11,2.52313E+11,2.49289E+11,2.81421E+11,3.43542E+11,3.96647E+11,4.22224E+11,4.54359E+11,5.00209E+11,4.99376E+11,5.20905E+11,5.19341E+11,5.24076E+11,5.28251E+11,5.2774E+11,5.00602E+11,
Benin,BEN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,233081244.2,249823276.9,271737334.9,292322671.9,308228074.6,314614211.5,333126806.6,344766352.2,352437255.8,347345820.9,397398703,487765487.2,599423384.1,668407934.7,706757958.1,787514376.3,876798112.5,1113346653,1433291409,1561860215,1427034076,1156983672,1121503754,1114750071,1202357093,1390353444,1698144661,1635602547,1825173505,1953417708,1947363976,2105178994,1894285351,2098301521,2130455504,2374740872,2403760083,2526428846,2691398095,2760552618,2832306436,3301916385,4116860860,4796421315,5169720379,5734073247,6553032931,7085158744,7246853838,7521291162,7962596288,8864597808,9471581123,9363818951,
Burkina Faso,BFA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,387079234.1,387900780.2,408452225.8,428515759.6,440441286.3,474418479.3,488390595.6,495557663.8,492796321.2,503420899.4,551659417.2,657214246.2,829367840.7,962066238.8,1040581437,1100289200,1307248244,1672887525,2016183083,2079799215,2020634181,1726429078,1550335318,1600017145,1864882215,2189871551,2715942817,2828813291,2922762678,3227199455,2941774989,2647352083,2236456634,2357345297,2562020121,2682137029,2729578934,2889189152,2869437796,2910348987,2964680512,3604819350,4460290910,5485925499,6005947314,6541036113,7618419569,8341924788,9468888865,9779838703,10600725965,11775664580,12071923569,12004862586,
Bangladesh,BGD,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,8399229108,10948234835,14726601164,14612255951,12748203736,12459885763,15000933835,18482464846,21495903580,20906830881,19631686878,19385911623,20469650220,23034262941,26554303287,28686460020,30263526734,32618765130,33713368491,35343162033,35844144644,36601375214,39239826437,43235500776,47648029853,51007259905,52908196453,55712709024,57006615191,57885640080,62202314642,69524380791,76597955076,80892580829,86321645144,95700163126,1.0613E+11,1.18314E+11,1.33342E+11,1.46862E+11,1.58833E+11,1.7125E+11,1.91314E+11,
Bulgaria,BGR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,21341838631,19043810637,18241990900,17684171847,19682010528,24701436282,28212115194,25284146187,19662226229,13982190422,12213007513,10582125370,10500067821,11428307335,10909522678,11035638599,11455062384,12199377159,13530595800,14152800153,15388397242,18377881962,23525912770,29094485959,32597136972,36662058710,45708804710,49448676547,50554622972,51915961316,53054040805,54316192857,54946364044,51843138071,
Bahrain,BHR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,3206757225,3461353558,3749620855,3393893403,3231291751,3515462561,3522744425,3514806295,3579347817,4994407247,5170554928,5380733482,5322440347,5852277398,6244658787,6133220559,6178388137,6284046634,7269677350,8019575009,8893877685,10081951683,12095581022,14712829242,17145495877,20366264293,23250133029,22319249146,23537595267,23329694659,25958473160,28425231144,28412249669,28031421550,
"Bahamas, The",BHS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,188280037.5,210281969,235351509.8,266061222.6,299222750.3,339896185.8,389425893.6,453681731.8,494517987.6,541492648.3,567006850.4,679535213.3,710279951.9,876724605.2,951108323.3,1131143790,1278325879,1522604894,1535991444,1616151592,1637910278,1544475111,1668380607,1926459007,2296710066,2720690553,3240635264,3692325866,3599973140,3516005361,3627637368,3620292421,3773409916,3995583267,4524381725,3920519700,4581068652,5582276419,6057425093,6325517058,6562473476,6834449506,7345854486,7740750208,7929048670,8167700556,8295780396,7903364849,7814165422,7807035418,7986881118,8028098127,8161888103,8269016483,
Bosnia and Herzegovina,BIH,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875913667,3782196014,4960336194,5240627571,5571967141,6029457852,6637842375,7691983336,9623585515,11758845177,12985587345,14741207084,17756360988,18587913201,18344090806,18313353650,17953850595,18632028904,18393235050,17821701018,
